Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"SA1-1-4.mzML"	2012-10-24T18:41:44Z	0.163806	23.9065	30.9504	38.0205	1.20017	1.18228	4.61629	7199.86	0.199004	0.131342	0.364781	0.304873	0.253952	0.27817	0.267091	0.200787	0.233558	0.183725	0.196261	0.386455	1.11318	0.94359	4.33153	0.568935	0.698515	1.63892	6783	1.21225	1864.5	2636	3172	18467	4.34046	196.5	355	584	0	0.51898	0.388802	0.0677425	0.0169492	0.00752694	0	0
"SA1-1-6.mzML"	2012-10-24T23:05:15Z	0.172183	18.1862	23.9407	33.5132	1.0943	1.07784	4.87732	7199.99	0.448922	0.120134	0.191303	0.239641	0.235858	0.283362	0.266268	0.214512	0.267645	0.207461	0.212041	0.312854	1.21338	0.990801	3.20811	1.47197	0.721278	0.953496	6199	1.17922	2356	2885	3363.5	22842	4.37969	181	300	501	0	0.448603	0.445539	0.0837492	0.0164609	0.00564749	0	0
"SA1-1-5.mzML"	2012-10-24T20:53:28Z	0.167003	21.1986	27.711	36.6612	1.154	1.07177	3.89744	7199.5	0.315943	0.137797	0.166731	0.379529	0.230114	0.257811	0.280857	0.231218	0.279491	0.23309	0.200066	0.287354	1.0897	0.844094	3.35213	1.23176	0.595148	0.765664	6016	1.18709	2843	3303	4202.25	23796	4.57906	198	326.5	509	8.40477e-05	0.423979	0.443352	0.0978736	0.024668	0.0100437	0	0
"SA1-2-1.mzML"	2012-10-26T09:14:57Z	0.147389	10.8776	14.6777	22.5981	0.966131	1.05896	7.00666	7199.25	0.119699	0.203088	0.422643	0.254569	0.238306	0.237201	0.282764	0.241729	0.259235	0.291253	0.157269	0.292243	0.912125	0.982431	5.78697	0.570428	0.635774	2.69805	7275	1.20856	2096	2432	3974	15130	4.36825	199	379	591	0.000132188	0.623331	0.311765	0.047918	0.0130866	0.00376735	0	0
"SA1-1-8.mzML"	2012-10-25T03:28:42Z	0.158127	24.0189	32.1172	39.8	1.06787	1.06356	3.99861	7199.77	0.300009	0.175732	0.241894	0.282365	0.218626	0.271728	0.289455	0.220191	0.287438	0.221623	0.204155	0.286784	1.18307	0.833907	3.4111	0.775478	0.402196	0.917178	5925	1.18552	2712	3124	4097	24240	4.78021	188	329	562	0	0.453383	0.443482	0.0747525	0.0212459	0.00713696	0	0
"SA1-1-7.mzML"	2012-10-25T01:16:58Z	0.158515	24.1449	31.8763	39.908	1.03044	0.938735	3.45961	7199.7	0.322681	0.13495	0.191184	0.351185	0.221167	0.275151	0.286929	0.216753	0.287223	0.219848	0.207862	0.285067	1.21029	0.919895	3.49571	0.817971	0.670978	0.944663	5847	1.19721	2887	3265	4158	24761	4.91576	197	342	582	4.03861e-05	0.446509	0.444328	0.0822665	0.0193449	0.00751181	0	0
"SA1-1-9.mzML"	2012-10-25T05:40:26Z	0.15491	24.9846	32.5212	39.4284	1.10713	1.04429	4.44902	7199.77	0.201549	0.122472	0.246649	0.42933	0.222206	0.255181	0.302297	0.220316	0.278368	0.217456	0.205734	0.298442	1.05133	0.877609	3.81332	0.681574	0.566175	1.33041	5932	1.20195	2587.75	3012	3602.5	23291	4.47235	206	369	624	0	0.454382	0.452621	0.0650036	0.0202224	0.00777124	0	0
"SA1-2-2.mzML"	2012-10-26T11:26:22Z	0.176847	8.32182	10.7078	16.0407	1.02772	1.19228	6.84608	7199.23	0.117362	0.118295	0.406903	0.35744	0.234913	0.258453	0.280544	0.226091	0.259034	0.243737	0.178464	0.318766	1.06337	0.857177	4.94267	0.398914	0.950797	2.43483	6745	1.19947	2167	2729	4430	17648	3.90829	200.75	361.5	553	0	0.603241	0.327686	0.0512239	0.012976	0.00487307	0	0
"SA1-2-10.mzML"	2012-10-27T04:59:22Z	0.151849	18.9618	26.3388	36.5787	1.29639	1.2551	4.62557	7199.68	0.207263	0.130165	0.322066	0.340506	0.233393	0.250413	0.29181	0.224384	0.271222	0.219003	0.196348	0.313427	1.18207	0.992983	4.44416	0.687722	0.679824	1.55915	6639	1.20592	2428.5	2967	3892	20718	4.29918	200	354	594	0	0.514866	0.388454	0.0568588	0.0198378	0.0199826	0	0
"SA1-2-4.mzML"	2012-10-26T15:49:38Z	0.149427	28.0119	34.9884	41.6049	1.21551	1.15502	4.46226	7199.57	0.195285	0.109914	0.250508	0.444293	0.240372	0.245931	0.298031	0.215666	0.255728	0.216726	0.20518	0.322366	1.15591	1.06004	4.4164	0.718178	0.965566	1.27876	6389	1.20882	2511	2939	3718	21395	4.40439	192.5	343	572.5	4.67399e-05	0.518906	0.382379	0.0724936	0.0182753	0.00789904	0	0
