Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"Heart_5.raw"	2016-03-09T23:28:30Z	0.12	25.8981	32.3136	45.4203	1.00543	0.0648436	2.22291	1079.81	0.196021	0.238538	0.188521	0.37692	0.58445	0.198472	0.0914738	0.125603	0.345828	0.331516	0.158587	0.164069	0.719339	0.62403	2.59669	0.538583	1.5271	1.94523	2378	6.23099	247	437	650	1425	2.90364	5	12	46	0.990877	0.00912281	0	0	0	0	0	0
"Heart_6.raw"	2016-03-09T23:51:39Z	0.129346	23.6182	25.4386	37.3332	0.540308	0.323368	2.4021	1079.65	0.195546	0.241616	0.188655	0.374183	0.583223	0.19734	0.094854	0.124583	0.349597	0.330482	0.158923	0.160998	0.78206	0.592705	2.6778	0.483185	1.52537	1.94656	2370	6.11803	254	430	649	1438	2.93797	5	12	46	0.99235	0.00764951	0	0	0	0	0	0
"Kidney_1.raw"	2016-03-09T07:16:31Z	0.112442	26.5781	30.7687	44.6866	0.379789	0.218904	2.02555	1079.62	0.138461	0.293619	0.189349	0.378571	0.575506	0.203021	0.0891289	0.132344	0.361237	0.325651	0.175845	0.137267	0.810147	0.64249	2.59933	0.669769	1.6157	1.90633	2360	6.26565	246	476	665	1503	3.16024	6	13	46	0.986693	0.0133067	0	0	0	0	0	0
"Kidney_10.raw"	2018-03-23T06:47:26Z	0.305717	7.96797	8.87667	10.4805	0.92438	1.2857	4.17316	1799.83	0.750123	0.0672131	0.0905685	0.0920952	0.531113	0.256643	0.105921	0.106322	0.201189	0.198217	0.283775	0.316819	1.39284	0.992071	3.06391	1.06242	0.175178	2.15202	6195	8.19887	856.5	1293	1361	2921	2.93217	4	12	26	0	0	0	0	0	0	0.88052	0.11948
"Kidney_11.raw"	2018-03-23T03:56:51Z	0.303332	8.18795	9.18331	10.7265	0.969706	1.38421	4.123	1799.76	0.752851	0.0676447	0.0887	0.0908043	0.531519	0.256592	0.105759	0.10613	0.199497	0.199485	0.288225	0.312793	1.33654	1.03857	3.27216	1.0601	0.173746	2.11046	6196	8.20784	912.5	1280	1363	2911	2.93304	4	12	26	0	0	0	0	0	0	0.888011	0.111989
"Kidney_12.raw"	2018-03-23T00:32:05Z	0.301965	7.96933	8.93645	10.6714	1.01402	1.30255	4.29655	1799.73	0.752122	0.0672339	0.089216	0.0914278	0.531595	0.256318	0.105859	0.106228	0.19876	0.19777	0.283561	0.319909	1.34741	1.03215	3.61526	1.02785	0.173374	2.03532	6192	8.19263	877.75	1298	1369	2901	2.94731	4	12	26	0	0	0	0	0	0	0.871768	0.128232
"Kidney_2.raw"	2016-03-09T07:39:40Z	0.144489	20.9434	26.7089	30.4464	0.991773	0.523907	2.98022	1079.74	0.155248	0.28962	0.186411	0.368721	0.580769	0.198973	0.0876884	0.132569	0.359995	0.325922	0.179346	0.134737	0.812337	0.590378	3.15222	0.64944	1.61006	1.96459	2370	6.39968	233	449	661	1488	3.17786	6	13	49	0.990591	0.00806452	0.00134409	0	0	0	0	0
"Kidney_3.raw"	2016-03-09T08:02:48Z	0.127688	23.8648	27.2151	33.9531	0.288045	0.449709	2.25984	1079.9	0.156011	0.281112	0.189172	0.373705	0.57987	0.200593	0.0873696	0.132168	0.35907	0.326787	0.178184	0.135959	0.879367	0.609966	2.41533	0.699261	1.60635	1.87228	2370	6.3429	236	473	665	1488	3.18315	6	12	46	0.987903	0.0100806	0.00201613	0	0	0	0	0
"Liver_1.raw"	2016-03-08T21:14:43Z	0.144371	29.0748	34.1794	42.1712	0.772729	0.259594	1.30506	1079.79	0.182214	0.264955	0.180871	0.37196	0.582993	0.194993	0.0890781	0.132936	0.365583	0.322745	0.184447	0.127224	0.956232	0.76724	2.65169	0.984354	1.73384	1.62969	2387	6.39164	194	461	675.5	1510	3.26154	6	14.5	49	0.992053	0.00794702	0	0	0	0	0	0
"Liver_11.raw"	2018-03-23T04:31:00Z	0.287879	8.21542	9.13523	11.3173	1.10427	1.34722	4.39112	1799.8	0.746065	0.0691976	0.0925863	0.0921508	0.531213	0.256677	0.10591	0.1062	0.196398	0.194596	0.294393	0.314612	1.2413	0.998604	2.95824	1.02086	0.159336	2.09686	6187	8.19081	856.5	1296	1370	2838	2.93752	4	11	25	0	0	0	0	0	0	0.886892	0.113108
