Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"SW1-2-5.raw"	2012-10-30T18:55:19Z	0.146643	15.0793	22.8144	34.5076	1.09395	1.17091	3.96571	7199.29	0.212076	0.13057	0.193682	0.463671	0.228445	0.266011	0.277641	0.227903	0.272001	0.21582	0.209681	0.302497	1.2326	0.949079	3.78718	1.05626	0.717659	1.17221	6087	1.18084	2581.5	3043	3670	22190	4.34039	195	314	510	0	0.453132	0.438125	0.0789995	0.0208653	0.00887787	0	0
"SW1-2-6.raw"	2012-10-30T21:07:08Z	0.133211	21.19	31.2255	40.4604	0.944067	0.897766	4.21639	7200.38	0.441709	0.126114	0.15453	0.277647	0.225978	0.266758	0.270196	0.237068	0.279032	0.222913	0.215457	0.282598	1.20503	0.841725	3.62546	2.48597	0.674382	0.795859	5827	1.17905	3043	3462	4119	24495	4.52766	192	310	485	0	0.423719	0.456828	0.0958563	0.0182894	0.00530721	0	0
"SW1-2-7.raw"	2012-10-30T23:19:05Z	0.225584	6.17183	7.30536	9.77778	0.987523	1.07102	4.6084	7199.5	0.197684	0.135159	0.247545	0.419612	0.223555	0.279274	0.298127	0.199044	0.284761	0.206716	0.203081	0.305441	1.5979	1.16927	2.93198	0.900578	0.890462	1.0796	5022	1.18137	2480.25	3229.5	4196	24891	4.89909	198.5	337	527	0	0.426941	0.430758	0.106464	0.0259532	0.00988309	0	0
"SW1-2-8.raw"	2012-10-31T01:31:02Z	0.271209	5.20657	6.07446	7.57438	1.32973	1.026	6.54339	7199.93	0.200921	0.13655	0.17875	0.48378	0.21125	0.259928	0.323431	0.205391	0.257359	0.22401	0.218844	0.299786	1.76293	1.44043	2.44038	1.01276	1.11328	0.991893	4850	1.18207	2269.25	3273.5	4471.75	25744	4.73281	199	342	537	0	0.450357	0.420836	0.0937694	0.0238891	0.0111482	0	0
"SW1-2-9.raw"	2012-10-31T03:42:59Z	0.278114	4.89225	5.71482	7.06104	0.892015	1.05247	5.98428	7199.68	0.200613	0.17691	0.330698	0.291779	0.220652	0.305807	0.296306	0.177235	0.265909	0.207128	0.208339	0.318624	1.31511	1.27927	2.90072	0.687482	0.759983	1.93606	4842	1.19576	2322	3121	4198.75	23476	4.59246	199	347	565	0	0.473718	0.428651	0.0675158	0.0191259	0.0109899	0	0
"SW2-1-1.raw"	2012-10-31T08:21:46Z	0.113905	10.4869	14.554	28.3273	1.17832	1.39834	6.85987	7199.05	0.114739	0.215154	0.395946	0.274162	0.254041	0.239579	0.269098	0.237282	0.229114	0.2876	0.181627	0.30166	0.864489	0.827344	3.62571	0.365919	0.613859	2.94666	7622	1.20769	2088.25	2408	2835.75	12923	4.77898	199	405	623.5	0	0.559313	0.388687	0.0354407	0.010756	0.00580361	0	0
"SW2-1-10.raw"	2012-11-01T04:10:13Z	0.330475	5.9261	6.31494	7.09385	0.634973	0.768022	5.48702	7199.78	0.151284	0.61459	0.140897	0.093229	0.271593	0.281843	0.25903	0.187533	0.297285	0.231288	0.229317	0.242111	1.26935	7.68701	5.58627	0.203632	8.12915	3.31256	5358	1.19966	138	164	2432.25	8630	3.04454	184	327	553	0.000115875	0.500232	0.378563	0.0677868	0.0280417	0.0252607	0	0
"SW2-1-2.raw"	2012-10-31T10:33:12Z	0.101574	21.7862	30.4461	37.6694	1.16654	1.15127	5.42166	7199.58	0.113333	0.188484	0.448276	0.249907	0.276684	0.240178	0.245883	0.237254	0.157937	0.161477	0.341099	0.339487	0.876616	0.858823	3.97067	0.432644	0.574349	2.8629	7972	1.20934	1804	2042	2394	9973	4.61862	172	309	495	0.000100271	0.630502	0.343427	0.0205555	0.00310839	0.00230623	0	0
"SW2-1-3.raw"	2012-10-31T12:45:01Z	0.1237	11.0028	15.6472	29.1618	1.4769	1.48107	5.3449	7200.12	0.105349	0.0876728	0.433048	0.37393	0.269372	0.256965	0.257106	0.216557	0.195438	0.1808	0.260191	0.363571	0.921304	0.931617	3.5117	0.489212	0.74652	2.79642	7173	1.20107	1938	2323	2795	13937	4.17936	172	306	482	0	0.601923	0.342828	0.0444859	0.00746215	0.00330057	0	0
"SW2-1-4.raw"	2012-10-31T14:56:48Z	0.111623	28.9353	36.0211	40.9408	0.841078	0.948884	4.60415	7199.68	0.179192	0.0893144	0.30173	0.429763	0.259808	0.288498	0.240613	0.211081	0.216547	0.175195	0.213395	0.394862	1.1953	1.21808	4.81235	0.579537	1.21991	2.09605	6615	1.19227	2217	2658	3025	17380	4.46056	178	305	487	0	0.540219	0.369563	0.0710587	0.0144419	0.00471807	0	0
"SW2-1-5.raw"	2012-10-31T17:08:43Z	0.1259	29.1719	37.12	43.4541	0.931087	0.963685	3.48769	7200.32	0.217694	0.137737	0.206839	0.43773	0.227845	0.257358	0.274592	0.240205	0.277801	0.23	0.208995	0.283204	1.1174	0.849036	4.23611	1.18189	0.498137	0.99955	5915	1.18488	2841	3315	4129.5	23622	4.37651	201	336	539	0	0.452841	0.43468	0.0857252	0.0195157	0.00723901	0	0
"SW2-1-6.raw"	2012-10-31T19:20:52Z	0.133933	23.6323	33.7378	41.8686	0.875743	0.84182	3.89933	7199.76	0.465596	0.111502	0.160248	0.262655	0.2249	0.26968	0.27236	0.23306	0.28289	0.221586	0.21197	0.283554	1.24861	0.906822	3.65499	2.7314	0.653342	0.834637	5828	1.18231	3101	3513.5	4123.5	24669	4.61821	197	316	494	0	0.414934	0.459646	0.0996798	0.0207548	0.00498601	0	0
"SW2-1-7.raw"	2012-10-31T21:33:09Z	0.162273	9.57683	12.5005	24.0096	0.972971	1.14734	4.3868	7199.96	0.211394	0.136324	0.217709	0.434574	0.20694	0.261172	0.299711	0.232177	0.25042	0.229282	0.208414	0.311883	1.39849	0.983932	3.26392	1.14211	0.699592	1.01057	5406	1.17616	2801.25	3339	4340	25223	5.1468	213	369	587	0	0.438528	0.428458	0.0997502	0.024779	0.00848432	0	0
"SW2-1-8.raw"	2012-10-31T23:45:34Z	0.265831	5.38278	6.22593	7.73614	1.25187	1.30727	5.23534	7199.73	0.147886	0.0929574	0.169027	0.590129	0.194717	0.280641	0.330267	0.194375	0.237894	0.215856	0.223095	0.323156	1.62882	1.3471	3.00869	0.837469	1.24847	1.37126	4871	1.19728	2119.5	2998	4058.5	24414	4.69633	206	355	566	0	0.458671	0.419391	0.0885148	0.0248628	0.00856066	0	0
"SW2-1-9.raw"	2012-11-01T01:57:55Z	0.139187	17.9343	23.8323	33.6057	0.909107	0.868306	3.0641	7200.47	0.56504	0.192345	0.141465	0.10115	0.243041	0.26729	0.268173	0.221497	0.439424	0.175303	0.199715	0.185559	0.962129	7.19142	5.03426	0.133492	8.26085	2.57148	6253	1.20704	130	149	2544	7163	4.44664	197	372	621	0.000139606	0.488901	0.431383	0.057099	0.0147983	0.00767835	0	0
"SW2-2-10.raw"	2012-11-25T00:11:11Z	0.16469	11.7979	15.0464	26.0125	1.24747	1.4621	5.68481	7199.86	0.155382	0.0444334	0.167643	0.632541	0.18814	0.289824	0.335081	0.186954	0.266021	0.211311	0.211926	0.310741	1.27875	1.03073	2.98731	0.871682	0.882487	2.22656	5217	1.18532	2808	3638	4583	21586	4.06147	147	284	490	9.26526e-05	0.50454	0.390392	0.0602242	0.0247383	0.020013	0	0
"SW2-2-1_121124053608.raw"	2012-11-24T04:36:08Z	0.154805	7.37399	9.34306	13.8154	0.892528	1.30603	6.05728	7199.33	0.152999	0.282527	0.434878	0.129597	0.235055	0.264247	0.270567	0.23013	0.246616	0.249116	0.217769	0.286499	1.04492	0.821501	3.89046	0.335742	0.432063	2.8483	6155	1.19551	2599	3210	4245	17816	3.82868	121	223	383	5.61293e-05	0.596767	0.32482	0.0605074	0.014762	0.00303098	5.61293e-05	0
"SW2-2-2_121124074623.raw"	2012-11-24T06:46:23Z	0.133475	10.8727	14.3012	27.2299	1.18677	1.52621	3.87243	7199	0.144649	0.156545	0.479515	0.219291	0.237898	0.278944	0.266234	0.216924	0.272606	0.224359	0.219882	0.283154	1.00826	0.861395	3.75834	0.398756	0.462468	2.76903	5838	1.1885	2745.75	3354	4351	18805	3.91064	139	272	457	0.000159532	0.557458	0.353257	0.0681202	0.0170699	0.00393512	0	0
"SW2-2-3_121124095703.raw"	2012-11-24T08:57:03Z	0.150437	12.3274	16.2044	28.2727	1.36431	1.59987	6.3729	7200.38	0.141146	0.0593128	0.191305	0.608236	0.222263	0.326321	0.271556	0.17986	0.220544	0.214881	0.22569	0.338885	1.05115	0.959966	3.54513	0.528163	0.939503	2.70692	5440	1.18801	2608.75	3414	4204	20128	3.9457	134	258	459	0.000149046	0.53746	0.377335	0.0654312	0.0150537	0.00457075	0	0
"SW2-2-4_121124120729.raw"	2012-11-24T11:07:29Z	0.146034	15.275	22.1842	34.4224	1.35094	1.40108	5.82599	7199.56	0.142691	0.0636389	0.195174	0.598496	0.199751	0.295636	0.323766	0.180847	0.277747	0.211879	0.211637	0.298738	1.23885	1.01082	2.98666	0.834295	0.97596	2.23696	4914	1.18728	2835.75	3779	5014	22214	4.05416	147	299	544	4.50167e-05	0.517016	0.37841	0.0725218	0.0204376	0.0115693	0	0
"SW2-2-5_121124141758.raw"	2012-11-24T13:17:58Z	0.159072	14.5972	20.5084	34.7392	1.40982	1.33099	4.85648	7199.88	0.166847	0.0789697	0.178859	0.575324	0.178405	0.243286	0.314243	0.264066	0.292811	0.217473	0.216097	0.273619	1.57832	1.04683	4.16137	1.23745	0.721161	1.39011	4772	1.17293	3199.75	4038.5	5122.25	24492	4.33154	144	258	467	0	0.453332	0.428099	0.0868447	0.0227013	0.00902335	0	0
"SW2-2-6.raw"	2012-11-24T15:28:30Z	0.19484	10.945	13.513	20.991	1.15619	1.39951	4.88634	7199.46	0.174823	0.077286	0.165034	0.582857	0.158294	0.251539	0.316715	0.273452	0.29912	0.207705	0.21619	0.276985	1.83574	1.07179	1.86879	1.39578	0.93935	1.27223	4431	1.16195	3108	4029	4979	24923	4.74266	142	253	466	0	0.408017	0.466597	0.0987441	0.0201019	0.00654014	0	0
"SW2-2-7.raw"	2012-11-24T17:39:08Z	0.175396	13.7649	18.1656	31.0859	1.35091	1.41316	3.90307	7200.37	0.173893	0.0897719	0.17309	0.563245	0.162271	0.248872	0.32884	0.260017	0.294775	0.211609	0.217271	0.276345	1.62236	1.19345	2.07786	1.40067	0.842331	1.26908	4474	1.14931	3108.5	4061	5124.5	24841	4.56377	144	260	489	0	0.420434	0.446037	0.100076	0.0241939	0.00925889	0	0
"SW2-2-8.raw"	2012-11-24T19:49:51Z	0.195411	10.8647	13.3148	20.3408	1.34277	1.543	5.16181	7200.05	0.177315	0.0835863	0.174692	0.564407	0.164116	0.24373	0.326159	0.265995	0.284736	0.218497	0.220403	0.276364	1.77665	1.30968	1.90894	1.39808	0.902187	1.20217	4446	1.16502	3301	4196	5370.5	25408	4.61145	149	279	493	3.93577e-05	0.414948	0.455132	0.0953243	0.0248347	0.00972135	0	0
"SW2-2-9.raw"	2012-11-24T22:00:29Z	0.170876	11.625	14.7544	25.2577	1.32405	1.43187	4.02635	7199.68	0.160252	0.0921953	0.204299	0.543254	0.187503	0.283898	0.334427	0.194172	0.272733	0.212154	0.216911	0.298202	1.53835	1.08404	2.83798	0.963921	0.924473	1.62991	4977	1.17072	3052	3963	4829	23005	4.29788	157	322	559	8.69376e-05	0.462899	0.435775	0.0734623	0.0182569	0.00951967	0	0
